Customer Name,Address,State,City,Zip,Active,Note,State,Prospect,Location
Bend Food 4 Less,63455 N. Highway 97 Suite 7,OR,Bend,97701,No,,OR,,
BERKELEY BOWL,2020 OREGON STREET,CA,BERKELEY,94703,No,No order for more than 7 months,CA,,East Bay
Berkeley Student Cooperative,Loading Dock,CA,Berkeley,94709,No,,,,East Bay
Bernie And Boys,11225 1st Avenue S.,WA,Seattle,98168,No,,WA,,
BERT S RED APPLE,1801 41ST AVE. E.,WA,SEATTLE,98112,No,No order for more than 4 months,WA,,
Best Bargain Market,209 W Arbor Vitae St,CA,Inglewood,90301,No,,CA,,
Best Buy Food,2250 W Pico Blvd,CA,Los Angeles,90006,No,,CA,,
Best Way SuperMarket - #3,1035 S La Brea,CA,Inglewood,90303,No,,CA,,
Best Way Supermarket #11,16100 Lakewood Blvd,CA,Bellflower,90706,No,,CA,,
Best Way SuperMarket #12,420 S Long Beach Blvd,CA,Compton,90221,No,,CA,,
Best Way Supermarket #14,19050 La Puente Rd,CA,West Covina,91792,No,,CA,,
Bestway Market #1,9990 Long Beach Blvd,CA,Lynwood,90262,No,,CA,,
Bestway Markets #5,111 So Pacific Ave,CA,San Pedro,90731,No,,CA,,
Bestway Supermarket #2,12721 Valley View Ave,CA,La Mirada,90638,No,,CA,,
Bestway Supermarket #8,20226 S Avalon Blvd,CA,Carson,90746,No,,CA,,
Bestway Supermarket #9,129 E Lomita,CA,Carson,90745,No,,CA,,
Beverages & More #37,16672 Beach Blvd SteK,CA,Huntington Beach,92647,No,,CA,,
Beverly Hills Market,303 N Crescent Dr,CA,Beverly Hills,90210,No,No order for more than 7 months,CA,,
Bi-rite Market,3639 18th Street,CA,San Francisco,94110,No,,CA,,San Francisco
BIANCHINI S MARKET,3130 ALPINE ROAD,CA,PORTOLA VALLEY,94028,No,No order for more than 7 months,CA,,
BIANCHINI S MARKET #2,810 LAUREL ST.,CA,SAN CARLOS,94070,No,No order for more than 4 months,CA,,peninsula
Big 6 Market,550 Rampart,CA,Los Angeles,90057,No,,CA,,
Big Ben Market,108 E 8Th St,CA,National City,91950,No,,CA,,
Big Bottom Market,16228 Main St,CA,Guerneville,95446,No,,CA,,Marin County
Big Boy Mkt-Escalon,2226 Jackson Ave,CA,Escalon,95320,No,,CA,,
Big John's Market,1345 Healdsburg Ave.,CA,Healdsburg,95448,No,,CA,,Marin County
Big Save #220,4469 Waialo Rd.,HI,"Eleele, Kauai",96705,No,,HI,,
Big Save #222,"1105 Kuhio Hwy, Bld A",HI,"Kapaa, Kauai",96746,No,,HI,,
Big Save #225,4444 Rice St.,HI,"Lihue, Kauai",96766,No,,HI,,
Big Save #226,9861 Waimea Rd.,HI,"Waimea, Kauai",96796,No,,HI,,
Big Save #228,5516 Koloa Rd.,HI,"Koloa, Kauai",96756,No,,HI,,
Big Save #229,5-5172 Kuhio Hwy,HI,"Hanalei, Kauai",96714,No,,HI,,
Big Save #434,2-2436 Kaumualii Hwy,HI,"Kalaheo, Kauai",96741,No,,HI,,
Big Save #438,2521 Kolo Road,HI,"Kilauea, Kauai",96754,No,,HI,,
Big Save #440,5665 Kawaihau Road,HI,"Kappa, Kauai",96746,No,,HI,,
Big Save #716,4303 Rice Street,HI,"Lihue, Kauai",96766,No,,HI,,
Big Save #718,5516 Koloa Road,HI,"Koloa, Kauai",96756,No,,HI,,
Big Save #780,1-3959 Kaumauali Hwy,HI,"Hanapepe, Kauai",96716,No,,HI,,
Big Saver Foods,4260 Charter Street,CA,Vernon,90058,No,,CA,,
Big Saver Foods # 1,3000 N Broadway,CA,Los Angeles,90031,No,,CA,,
Big Saver Foods # 10,12832 E Rosecrans Ave,CA,Norwalk,90650,No,,CA,,
Big Saver Foods # 11,3981 Chicago Ave,CA,Riverside,92507,No,,CA,,
Big Saver Foods # 12,13925 Amar Road,CA,La Puente,91746,No,,CA,,
Big Saver Foods # 2,5168 S Huntington Dr,CA,Los Angeles,90032,No,,CA,,
Big Saver Foods # 5,5829 S Compton Ave,CA,Los Angeles,90001,No,,CA,,
Big Saver Foods # 6,2619 N Figueroa St,CA,Los Angeles,90065,No,,CA,,
Big Saver Foods # 7,420 W 17Th Street,CA,Santa Ana,92706,No,,CA,,
Big Saver Foods # 8,7619 E Garvey,CA,Rosemead,91770,No,,CA,,
Big Saver Foods #13,16000 Woodruff Ave,CA,Bellflower,90706,No,,CA,,
Big Saver Foods #14,9406 E Washington Blvd,CA,Pico Rivera,90660,No,,CA,,
Big Saver Foods #15,1500 W Willow St,CA,Long Beach,90810,No,,CA,,
Big Saver Foods #16,14310 Hawthorne Blvd,CA,Lawndale,90260,No,,CA,,
Big Saver Foods #18,1313 Artesia Blvd,CA,Long Beach,90805,No,,CA,,
Big Tree's Market,2182 Hwy 4,CA,Arnold,95223,No,,CA,,
Big Value Market,623 69Th St,CA,San Diego,92114,No,,CA,,
Big Value Stockton,2053 Mariposa Road,CA,Stockton,95205,No,,CA,,
Bittersweet Chocolate Cafe,5427 College Ave,CA,Oakland,94618,No,,CA,,East Bay
Bklyn Larder,228 Flatbush Ave,NY,Brooklyn,11217,No,,NY,,
Black Sheep,18 N. Summer Street,MA,Edgartown,2539,No,,MA,,
Blue Fog Market,2567 Gough Street,CA,San Francisco,94123,No,,CA,,San Francisco
Blue Sky Market,330 North Street,WA,Mabton,98935,No,,WA,,
Bluxome Winery,53 Bluxome,CA,San Francisco,94107,No,,CA,,San Francisco
Boardwalk Market - Tiburon,1550 Tiburon Blvd,CA,Tiburon,94920,No,,CA,,Marin County
Bob S Market,1650 Ocean Park,CA,Santa Monica,90405,No,,CA,,
Bob's Cathlamet Market,95 Main Street,WA,Cathlamet,98612,No,,WA,,
Boerne Epicure 1,210 S. Main St,TX,Boerne,78006,No,,TX,,
Boulder Book Store,1107 Pearl St,CO,Boulder,80302,No,,CO,,
Boulevard Park Thriftway,12000 Des Moines Way S.,WA,Seattle,98168,No,,WA,,
Braitos Riviera Foods,9730 Soda Bay Rd.,CA,Kelseyville,95451,No,,CA,,
Bridge Store,748 N D Street,CA,Madera,93638,No,,CA,,
Bridle Trails Red Apple,6625 132nd NE,WA,Kirkland,98033,No,No order for more than 7 months,WA,,
Bristol Farm #7,810 Avocado Ave,CA,Newport Beach,92660,No,,CA,,
Bristol Farms,8448 Lincoln Blvd,CA,Los Angeles,90045,No,,CA,,
Bristol Farms #15,1515 Westwood Blvd,CA,Los Angeles,90024,No,,CA,,
Bristol Farms #2312,8510 Genesee Ave,CA,San Diego,92122,No,,CA,,
Bristol Farms #2317,915 E 230Th St,CA,Carson,90745,No,,CA,,
Bristol Farms #2319,73101 Country Club Dr,CA,Palm Desert,92260,No,,CA,,
Bristol Farms #9,7880 Sunset Blvd,CA,Los Angeles,90046,No,,CA,,
Bristol Farms Store # 10,9039 Beverly Blvd,CA,West Hollywood,90048,No,,CA,,
brittany crepes,,,,,No,,,,
Brown Estate Vineyards,,,,,No,,,,
Browns Valley Market,3263 Browns Valley Road,CA,Napa,94558,No,,CA,,
Bruno S Market,2988 Imperial Avenue,CA,San Diego,92102,No,,CA,,
Bruno's Mkt-Carmel,6Th And Junipero,CA,Carmel,93921,No,,CA,,
Bryan's Market,3445 California Street,CA,San Francisco,94118,No,,CA,,San Francisco
Buy Low Market,250 N La Brea,CA,Inglewood,90301,No,,CA,,
Buy Low Market #4,1061 W Owens Ave,NV,Las Vegas,89106,No,,NV,,
By Hand Fine Craft Gallery,142 Kings Highway E.,NJ,Haddonfield,8033,No,,NJ,,
Cal-Mart – Calistoga,1491 Lincoln Ave,CA,Calistoga,94515,No,,CA,,Marin County
CAL-MART SUPER,3585 CALIFORNIA ST,CA,SAN FRANCISCO,94118,No,No order for more than 7 months,CA,,San Francisco
Calexico Market,221 E 2Nd Street,CA,Calexico,92231,No,,CA,,
Calif Mayoreo Y Menudeo #3,363 West Second St,CA,Calexico,92231,No,,CA,,
California City Disc. Market,8167 Bay Avenue,CA,California City,93505,No,,CA,,
California Market,4317 Beverly Blvd,CA,Los Angeles,90004,No,,CA,,
California Supermarket,Will Call,CA,Calexico,92231,No,,CA,,
California Supermarket #1,127 2Nd St,CA,Calexico,92231,No,,CA,,
California Supermarkets #2,601 Imperial Ave,CA,Calexico,92231,No,,CA,,
Canyon Lake Market,31682 Railroad Canyon Rd,CA,Canyon Lake,92587,No,,CA,,
CANYON MARKET,2815 DIAMOND ST,CA,SAN FRANCISCO,94131,No,No order for more than 4 months,,,San Francisco
Cardenas Market - #22,14930 Perris Blvd,CA,Moreno Valley,92553,No,,CA,,
Cardenas Market #1,1945 E Riverside Dr,CA,Ontario,91761,No,,CA,,
Cardenas Market #10,1067 N Mount Vernon Ave,CA,Colton,92324,No,,CA,,
Cardenas Market #11,6250 Van Buren Blvd,CA,Riverside,92503,No,,CA,,
Cardenas Market #12,5740 Mission Blvd,CA,Riverside,92509,No,,CA,,
Cardenas Market #13,1475 S San Jacinto Ave,CA,San Jacinto,92583,No,,CA,,
Cardenas Market #14,301 S Lincoln Ave,CA,Corona,92882,No,,CA,,
Cardenas Market #15,16212 Foothill Blvd,CA,Fontana,92335,No,,CA,,
Cardenas Market #16,690 E Holt Ave,CA,Pomona,91767,No,,CA,,
Cardenas Market #17,82266 Highway 111,CA,Indio,92201,No,,CA,,
Cardenas Market #18,50037 Harrison Street,CA,Coachella,92236,No,,CA,,
Cardenas Market #19,15555 Main St Suite B,CA,Hesperia,92345,No,,CA,,
Cardenas Market #2,10455 Mills Ave,CA,Montclair,91763,No,,CA,,
Cardenas Market #20,1645 W Holt Ave #1645,CA,Pomona,91768,No,,CA,,
Cardenas Market #21,8963 Sierra Ave,CA,Fontana,92335,No,,CA,,
Cardenas Market #3,1714 S Euclid Ave,CA,Ontario,91761,No,,CA,,
Cardenas Market #4,2560 N Perris Blvd,CA,Perris,92571,No,,CA,,
Cardenas Market #5,720 E Holt Blvd,CA,Ontario,91761,No,,CA,,
Cardenas Market #6,2001 S Garey Ave,CA,Pomona,91767,No,,CA,,
Cardenas Market #7,16721 Valley Blvd,CA,Fontana,92335,No,,CA,,
Cardenas Market #9,250 W Foothill Blvd,CA,Rialto,92376,No,,CA,,
Cardenas Markets #23,1620 North Imperial Ave,CA,El Centro,92243,No,,CA,,
Cardenas Markets #24,140 W 40Th Street,CA,San Bernardino,92407,No,,CA,,
Cardenas Markets #25,31655 Date Palm Drive,CA,Cathedral City,92234,No,,CA,,
Cardenas Markets #26,4421 E Bonanza Road,NV,Las Vegas,89110,No,,NV,,
Cardenas Markets #28,2400 E Bonanza Rd,NV,Las Vegas,89101,No,,NV,,
Cardenas Markets #30,4700 Meadows Lane,NV,Las Vegas,89107,No,,NV,,
Cardenas Markets #81,2450 Vineyard Ave,CA,Ontario,91761,No,,CA,,
Cardiff Seaside Market,2087 San Elijo Ave,CA,Cardiff,92007,No,,CA,,
Carniceria Rancho Grande,827 E Main St,AZ,Mesa,85203,No,,AZ,,
Carnicerias Rancho Grande,4227 S Central Ave,AZ,Phoenix,85040,No,,AZ,,
Carnival Supermarket,1750 East 8Th St,CA,National City,91950,No,,CA,,
Cascade Convenience Center,2035a Halibut Pt. Road,AK,Sitka,99835,No,,AK,,
Caseus,93 Whitney Avenue,CT,New Haven,6510,No,,CT,,
Castello di Amorosa,,,Calistoga,,No,,CA,,
Catalinas Super Market Inc,1070 N Western Ave,CA,Los Angeles,90029,No,,CA,,
Centro Mart No 31,310 W. Martin Luther King Jr Blvd.,CA,Stockton,95206,No,,CA,,
Centro Mart No 33,4232 E Main St,CA,Stockton,95205,No,,CA,,
Centro Mart No 34,2150 W. Alpine Ave.,CA,Stockton,95204,No,,CA,,
Centro Mart No 37,3110 Main Street Suite 250,CA,Oakley,94561,No,,CA,,
Centro Mart No. 28,7820 Brentwood Blvd.,CA,Brentwood,94513,No,,CA,,
Centro Mart No. 32,2907 E. Waterloo Rd.,CA,Stockton,95205,No,,CA,,
Chalk Hill,10300 Chalk Hill Road,CA,Healdsburg,95448,No,,CA,,Marin County
Chan S Market,1237 N Lincoln Ave,CA,Pasadena,91103,No,,CA,,
chantal guillon patisserie,1309 Howard Street,CA,San Francisco,94103,No,,,,San Francisco
cheese and more,2425 3rd St,CA,San Francisco,94107,No,No order for more than 7 months,CA,,San Francisco
Cheese Board Bakery,1504 shattuck ave,CA,Berkeley,94709,No,,CA,,East Bay
Cheese Plus,2001 Polk St,CA,San Francisco,94109,No,,,,San Francisco
Cheese Plus,2001 Polk Street,CA,San Francisco,94109,No,,CA,,San Francisco
Cheesetique,2411 Mt. Vernon Ave.,VA,Alexandria,22301,No,,VA,,
Chelan Red Apple,310 Manson,WA,Chelan,98816,No,,WA,,
Chelsea Market Baskets,75 9th Ave,NY,New York,10001,No,,NY,,
Chez Berlue,1749 Union St,CA,San Francisco,94115,No,No order for more than 7 months,CA,,San Francisco
Chocolate Covered,4069 24th Street,CA,San Francisco,94114,No,,CA,,San Francisco
City Market,423 Front Street,AK,Wrangell,99929,No,,AK,,
Clementine,1751 Ensley Avenue; Los Angeles,CA,Los Angeles,90024,No,,CA,,
Cliche Noe Gift Store,4175 24th Street,CA,San Francisco,94114,No,No order for more than 7 months,CA,,San Francisco
Cloyne Coop,,,berkeley,,No,,,,
Coco Guilhem,265 oak street,ca,san Francisco,94102,No,,,,San Francisco
Cocoanuts Boston,28 Parmenter St,MA,Boston,2113,No,,MA,,
Coit Liquors,585 Columbus Ave,CA,San Francisco,94133,No,,CA,,San Francisco
Columbine,101 Corte Madera Twn Ctr,CA,Corte Madera,94925,No,,CA,,Marin County
Community Market,6762 Sebastopol Avenue,CA,Sebastopol,95472,No,,,,Marin County
Consumer Discount Drug,6542 Hollywood Blvd,CA,Hollywood,90028,No,,CA,,
Cordon S Ranch Market,2931 Honolulu Ave,CA,La Crescenta,91214,No,,CA,,
Cork – A Bottle Shop,2901 NE Alberta St,OR,Portland,97211,No,,OR,,
Cory Baehr Imports,L.A. Mart,CA,Los Angeles,90007,No,,,,
Cost Less #10,3801 Yosemite Blvd.,CA,Modesto,95357,No,,CA,,
Cost Less #9,901 N. Carpenter Rd,CA,Modesto,95351,No,,CA,,
Cost Less Food Co,1610 E. Hatch Road,CA,Ceres,95351,No,,CA,,
Cost Less Food Company #1,102 S. 11Th Ave.,CA,Hanford,93230,No,,CA,,
Cost Less Food Company #2,2001 Whitley Ave.,CA,Corcoran,93212,No,,CA,,
Cost Less Food Company #3,255 W. Main St.,CA,Turlock,95380,No,,CA,,
Cost Less Food Company #4,888 N. Yosemite,CA,Oakdale,95361,No,,CA,,
Cost Less Market Whse,2905 Railroad Avenue,CA,Ceres,95307,No,,CA,,
Cost Saver #3,611 E Grand Blvd,CA,Corona,92879,No,,CA,,
Cost Saver Market #1,22905 S Vermont Ave,CA,Torrance,90502,No,,CA,,
Cost Saver Market #2,1141 W Carson St,CA,Torrance,90502,No,,CA,,
Costless Food,555 State Highway 49,CA,Jackson,95642,No,,CA,,
Country Cheese Coffee Market,1578 Hopkins St,CA,Berkeley,94707,No,,CA,,East Bay
Country Cheese Company,2101 San Pablo Ave,CA,Berkeley,94702,No,,CA,,East Bay
Country Cheese LLC,299 Arlington Avenue,CA,Kensington,94707,No,,,,East Bay
County Fair Market,10415 Main St,CA,Lamont,93241,No,,CA,,
Cured Boulder,1825 B. Pearl St,CO,Boulder,80302,No,,CO,,
Custom global products,,,,,No,,,,
Dairyland Market,8298 N. Lander Ave,CA,Hilmar,95324,No,,CA,,
Dale Cox Distributing Inc.,2210 Pine View Way,CA,Petaluma,94954,No,,,,Marin County
Daniel S Liquor,1350 Main St,CA,Ramona,92065,No,,CA,,
Daniel S Market,5256 S Mission Rd,CA,Bonsall,92003,No,,CA,,
Davis Food Coop,620 G St.,CA,Davis,95616,No,,CA,,
Del Mar Supermarket,7822 Garvey Ave,CA,Rosemead,91770,No,,CA,,
Del Real Foods,11041 Inland Ave,CA,Mira Loma,91752,No,,CA,,
Del Sol,402 E 5Th Street,CA,Holtville,92250,No,,CA,,
Del Sol #11,367 W 16Th St,AZ,Yuma,85364,No,,AZ,,
Del Sol #4,280 S 4Th Ave,AZ,Yuma,85364,No,,AZ,,
Del Sol #7,415 W Main St,AZ,Somerton,85350,No,,AZ,,
